movieId,title,genres,rating
1354627,SpongeBob Squarepants: Kreepaway Kamp,"10770, 10751, 35, 27, 16",6.9
580489,Venom: Let There Be Carnage,"878, 28, 12",6.797
672,Harry Potter and the Chamber of Secrets,"12, 14",7.7
1038263,Maria,"18, 10402",6.8
1061474,Superman,"28, 12, 878, 35, 16",0.0
299536,Avengers: Infinity War,"12, 28, 878",8.242
1149913,TOGEFILM - Mei Mei,"18, 10749",10.0
419329,Descendants of Adultery,10749,4.6
438631,Dune,"878, 12",7.8
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","12, 10751, 14",7.1
1159311,My Hero Academia: You're Next,"16, 28, 12, 878",6.79
238,The Godfather,"18, 80",8.7
361743,Top Gun: Maverick,"28, 18",8.195
940551,Migration,"16, 28, 12, 35, 10751",7.4
278,The Shawshank Redemption,"18, 80",8.708
929590,Civil War,"10752, 28, 18",6.9
603692,John Wick: Chapter 4,"28, 53, 80",7.7
1180634,The Children's Train,18,7.4
1340602,The Aunts,27,6.4
1063877,Don't Move,"27, 53",6.4
1041317,Battle for the Western Front,10752,5.6
1203724,Cuerpo escombro,35,5.8
346698,Barbie,"35, 12",7.0
315162,Puss in Boots: The Last Wish,"16, 12, 14, 35, 10751",8.2
673,Harry Potter and the Prisoner of Azkaban,"12, 14",8.0
370663,Below Her Mouth,"18, 10749",6.8
1068518,Haunted Heart,"10749, 53",5.9
1147710,Hijack 1971,"28, 53, 80",6.3
674,Harry Potter and the Goblet of Fire,"12, 14",7.8
12444,Harry Potter and the Deathly Hallows: Part 1,"12, 14",7.747
1094974,Take Cover,"28, 53",6.928
1294203,My Fault: London,"10749, 18",0.0
1329336,The Bad Guys: Haunted Heist,"16, 35",7.0
216015,Fifty Shades of Grey,"18, 10749, 53",5.883
1129598,Prey,"28, 53, 27",6.253
1142518,Freedom,"28, 10749, 18",6.6
1219685,An Ideal Father,"18, 10770",6.3
1191611,Camp Crasher,"35, 10749",6.88
1203236,Nutcrackers,"18, 35",5.551
1208808,The Haunting of the Immaculate Nurse,27,6.5
76600,Avatar: The Way of Water,"878, 12, 28",7.619
1029281,Strange Darling,"80, 27, 53",6.904
866398,The Beekeeper,"80, 28, 53",7.342
675,Harry Potter and the Order of the Phoenix,"12, 14",7.677
198663,The Maze Runner,"28, 9648, 878, 53",7.19
287903,Krampus,"27, 35, 14",6.199
7451,xXx,"28, 12, 53, 80",5.938
1241748,Kalikot,18,6.5
27066,The Voyeur,"18, 10749",5.5
1104844,BLUE LOCK THE MOVIE -EPISODE NAGI-,"16, 28, 18",7.5
1102493,Small Things Like These,18,6.9
637649,Wrath of Man,"80, 28, 53",7.6
12445,Harry Potter and the Deathly Hallows: Part 2,"14, 12",8.1
1216191,Oddity,"27, 9648",6.804
616446,Brothers,"28, 35, 80",6.0
120,The Lord of the Rings: The Fellowship of the Ring,"12, 14, 28",8.416
940721,Godzilla Minus One,"878, 27, 28",7.574
1154304,Buffalo Kids,"16, 12, 35, 10751",6.8
81188,Rise of the Guardians,"16, 10751, 14",7.363
980816,Miranda's Victim,"18, 36",6.981
1145491,Operation Black Ops,"28, 53",5.407
109445,Frozen,"16, 10751, 12, 14",7.246
1151949,The Shadow Strays,"28, 80, 53",7.402
170,28 Days Later,"27, 53, 878",7.2
1226578,Longlegs,"27, 53, 80",6.6
1290034,Defying Gravity: The Curtain Rises on Wicked,99,8.2
27205,Inception,"28, 878, 12",8.4
767,Harry Potter and the Half-Blood Prince,"12, 14",7.7
22,Pirates of the Caribbean: The Curse of the Black Pearl,"12, 14, 28",7.807
1047373,The Silent Hour,"80, 53, 28",6.333
785542,The Outrun,18,6.841
426063,Nosferatu,"27, 14, 18",8.1
335984,Blade Runner 2049,"878, 18",7.571
177572,Big Hero 6,"12, 10751, 16, 28, 35",7.732
877817,Wolfs,"35, 28, 80",6.541
426889,Le clitoris,"16, 99",6.1
